num_topics,topic_id,topic_name_auto,topic_size,top_words,interpretation
5,0,Staff Service and Attitude,2492,"food, servic, crew, seat, cabin, meal, time, staff, class, busi, hour, good","This topic focuses on passengers' dissatisfaction with staff attitude, cabin crew service, and lack of assistance."
5,1,Refund and Compensation Issues,1638,"seat, pay, bag, charg, extra, check, even, never, paid, back, use, row","This topic describes complaints about refund difficulty, compensation problems, extra charges, or payment issues."
5,2,"Booking, Check-in, and Boarding",1842,"check, bag, airport, told, luggag, board, staff, ask, custom, gate, arriv, wait","This topic includes problems during booking, check-in, boarding, ticket handling, or gate procedures."
5,3,Flight Delay and Cancellation,2139,"delay, hour, time, airport, wait, arriv, connect, day, hotel, anoth, next, minut","This topic mainly reflects complaints about delayed flights, cancellations, missed connections, and long waiting time."
5,4,"Booking, Check-in, and Boarding",1889,"cancel, custom, book, ticket, servic, call, refund, day, time, chang, email, tri","This topic includes problems during booking, check-in, boarding, ticket handling, or gate procedures."
7,0,Flight Delay and Cancellation,1084,"hour, delay, board, time, minut, wait, arriv, gate, airport, staff, late, check","This topic mainly reflects complaints about delayed flights, cancellations, missed connections, and long waiting time."
7,1,Refund and Compensation Issues,1457,"seat, bag, check, pay, charg, extra, board, luggag, never, even, carri, paid","This topic describes complaints about refund difficulty, compensation problems, extra charges, or payment issues."
7,2,Baggage and Luggage Problems,1274,"told, airport, custom, luggag, servic, call, check, ask, bag, help, said, day","This topic is related to lost, delayed, damaged, or mishandled baggage and luggage claim issues."
7,3,Flight Delay and Cancellation,1783,"hour, delay, time, airport, day, cancel, hotel, wait, never, next, anoth, connect","This topic mainly reflects complaints about delayed flights, cancellations, missed connections, and long waiting time."
7,4,"Booking, Check-in, and Boarding",1555,"cancel, book, ticket, refund, custom, servic, call, day, chang, time, email, tri","This topic includes problems during booking, check-in, boarding, ticket handling, or gate procedures."
7,5,Seat Comfort and Cabin Space,2687,"seat, food, servic, class, crew, cabin, busi, meal, good, economi, time, entertain","This topic captures complaints about uncomfortable seats, limited legroom, cabin space, and overall seating experience."
7,6,Staff Service and Attitude,160,"air, via, staff, canada, dubai, servic, singapor, london, sydney, emir, airport, melbourn","This topic focuses on passengers' dissatisfaction with staff attitude, cabin crew service, and lack of assistance."
10,0,Flight Delay and Cancellation,859,"board, hour, minut, gate, time, staff, wait, delay, arriv, check, airport, crew","This topic mainly reflects complaints about delayed flights, cancellations, missed connections, and long waiting time."
10,1,Baggage and Luggage Problems,859,"bag, pay, check, charg, luggag, extra, carri, baggag, even, fee, ticket, paid","This topic is related to lost, delayed, damaged, or mishandled baggage and luggage claim issues."
10,2,Baggage and Luggage Problems,733,"luggag, airport, day, arriv, bag, told, hour, baggag, call, custom, servic, connect","This topic is related to lost, delayed, damaged, or mishandled baggage and luggage claim issues."
10,3,Flight Delay and Cancellation,1262,"hour, delay, time, airport, day, cancel, hotel, wait, arriv, next, anoth, connect","This topic mainly reflects complaints about delayed flights, cancellations, missed connections, and long waiting time."
10,4,"Booking, Check-in, and Boarding",1427,"cancel, book, ticket, refund, custom, call, day, servic, chang, email, time, tri","This topic includes problems during booking, check-in, boarding, ticket handling, or gate procedures."
10,5,Seat Comfort and Cabin Space,2312,"food, seat, servic, class, crew, meal, busi, cabin, good, economi, serv, entertain","This topic captures complaints about uncomfortable seats, limited legroom, cabin space, and overall seating experience."
10,6,Staff Service and Attitude,61,"dubai, emir, london, via, staff, lisbon, tap, luggag, brussel, delhi, kuala, india","This topic focuses on passengers' dissatisfaction with staff attitude, cabin crew service, and lack of assistance."
10,7,Seat Comfort and Cabin Space,531,"seat, air, row, sit, back, leg, canada, front, attend, room, child, togeth","This topic captures complaints about uncomfortable seats, limited legroom, cabin space, and overall seating experience."
10,8,Staff Service and Attitude,1466,"custom, servic, time, said, told, ask, check, never, help, board, line, rude","This topic focuses on passengers' dissatisfaction with staff attitude, cabin crew service, and lack of assistance."
10,9,Flight Delay and Cancellation,490,"delay, time, hour, servic, air, staff, connect, airport, experi, custom, singapor, via","This topic mainly reflects complaints about delayed flights, cancellations, missed connections, and long waiting time."
