topic_id,topic_name_auto,representative_rank,topic_probability,top_words,OverallScore,AirlineName,CabinType,representative_review
0,Flight Delay and Cancellation,1,0.993268,"hour, delay, board, time, minut, wait, arriv, gate, airport, staff, late, check",2.0,Air Nostrum,Economy Class,"Casablanca to Madrid. The Check in for the flight was handled by Royal air Maroc staff, who were 20 mins late in opening check in due to an issue with a previous flight. It was a friday afternoon and only half of the immigration counters were open which resulted in an hour long w..."
0,Flight Delay and Cancellation,2,0.989356,"hour, delay, board, time, minut, wait, arriv, gate, airport, staff, late, check",1.0,Sunwing Airlines,Economy Class,Flight from Montreal to Punta Cana was excellent. On April 13 our return flight was a nightmare to say the least. Arrived at Punta Cana airport on time. After waiting in line over 1.5 hours finally made it to the Exit Tax counter only to wait again for luggage/boarding counter. B...
0,Flight Delay and Cancellation,3,0.984346,"hour, delay, board, time, minut, wait, arriv, gate, airport, staff, late, check",1.0,Condor Airlines,Economy Class,Frankfurt to Baltimore. Had passengers board the shuttle bus and stand on the bus for 20 plus minutes in the heat with no air. The driver said the airline was short of cleaning staff and we had to wait to board the plane. After 15-20 min in the heat a passenger asked to at least...
1,Refund and Compensation Issues,1,0.992639,"seat, bag, check, pay, charg, extra, board, luggag, never, even, carri, paid",3.0,United Airlines,Economy Class,I have flown with a handful of airlines in the last year and even in the last week and I never had this experience with other airlines. I always fly with a medical bag full of supplies for my health issues. Both at the front desk and before getting on the plane I was questioned a...
1,Refund and Compensation Issues,2,0.992111,"seat, bag, check, pay, charg, extra, board, luggag, never, even, carri, paid",1.0,Frontier Airlines,Economy Class,"By far the worst trip I've ever taken. It was my first time flying frontier, but also my last. The staff is extremely rude. At the gate, I was asked to put my personal item in the measuring bin. It fit easily, however, the lady eyes my wallet in my hand (which slings around my sh..."
1,Refund and Compensation Issues,3,0.992018,"seat, bag, check, pay, charg, extra, board, luggag, never, even, carri, paid",1.0,Allegiant Air,Economy Class,Nickle and dimed! We were trying to fly from PA to FL on the cheap so we went with Allegiant. Big mistake. The base fare may seem inexpensive but they charge extra for everything (carry-on +$30 pick your seat another +$30 drinks snacks $5 etc.). The flight attendants were cranky...
2,Baggage and Luggage Problems,1,0.994853,"told, airport, custom, luggag, servic, call, check, ask, bag, help, said, day",2.0,Eurowings,Economy Class,Stansted to Zagreb via Cologne. We checked in at Stansted & the staff wasn't sure what he was doing he asked his colleague a few questions regarding our baby pram & if he needed to give us a receipt & he then went off for 5/10mins to get a label for us to go on the buggy. The pra...
2,Baggage and Luggage Problems,2,0.992577,"told, airport, custom, luggag, servic, call, check, ask, bag, help, said, day",1.0,Middle East Airlines,Economy Class,Beirut to London. During Check in I was informed by 2 ladies on the check in counter that I am not allowed to travel to London as LHR airport will close from 10 pm to 5 Am in the morning and I have to leave the airport. I explained to them that I have asked before I booked the ti...
2,Baggage and Luggage Problems,3,0.989757,"told, airport, custom, luggag, servic, call, check, ask, bag, help, said, day",1.0,Pegasus Airlines,Economy Class,Still waiting for Pegasus to respond to a complaint I made 2 weeks ago. I flew from Izmir-Istanbul-Stansted but my luggage never left Istanbul! Waited 3 hours at Stansted no one to help and had to drive 2.5 hours home with no clues and certainly no luggage! Called every tel no. u...
3,Flight Delay and Cancellation,1,0.995139,"hour, delay, time, airport, day, cancel, hotel, wait, never, next, anoth, connect",3.0,Delta Air Lines,Economy Class,"Houston to Toronto via Minneapolis. The first flight IAH - Minneapolis the plane was small and did not leave on time, luckily only 30 minutes apart. Until that moment everything was OK. When we arrived in Minneapolis, I turned on my phone with about 5 text and email informing abo..."
3,Flight Delay and Cancellation,2,0.993005,"hour, delay, time, airport, day, cancel, hotel, wait, never, next, anoth, connect",1.0,American Airlines,Economy Class,"I booked a trip via American Airlines on July 7th to travel from Gainesville, FL to Boston, MA on Friday, August 3rd. I checked in the day before the flight and woke up at 4am so I could be ready for the 6:27am departure time. I was to go from Gainesville to Miami, FL. I was supp..."
3,Flight Delay and Cancellation,3,0.99279,"hour, delay, time, airport, day, cancel, hotel, wait, never, next, anoth, connect",1.0,Interjet,Economy Class,Miami to Cancun. Esta es la peor aereolinia con la que puedas viajar. mantente lejos de ellos. Yo hice una recerva de miami a cancun ida y vuelta en agosto del ano pasado para viajer en mayo 27. Para sorpresa el dia 20 me mandan un email que mi vuelo fue cambiado saliendo de miam...
4,"Booking, Check-in, and Boarding",1,0.996159,"cancel, book, ticket, refund, custom, servic, call, day, chang, time, email, tri",5.0,Flair Airlines,Economy Class,"Their website messed up my flights, email support tried to charge me $600 to fix it over the course of a few weeks, and later the Instagram rep solved the problem and upgraded my flights in 50 mins. In January 2022 I booked flights to Vancouver as an Artist I like was going to be..."
