AirlineName,CabinType,OverallScore,Recommended,Review,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_score,sentiment_label,recommend_sentiment_consistency,rating_sentiment_note
Flair Airlines,Economy Class,3.0,no,"Edmonton to Toronto. I probably won’t ever fly with Flair again. I saved $0. I may have even spent more than if I would’ve flown with WestJet or Air Canada. Not impressed. I specifically bought and under-seat bag to carry valuable work equipment in. They double checked it at the gate and made me pay an extra $35 each way for the bag because they thought it was too big, making it an extra $73 total for a carry on stowed bag which should’ve been free. I got on the plane, and it sure enough did fit under the seat with plenty of foot space and room. I was not impressed.",0.053,0.834,0.113,0.8172,positive,possible_mismatch,low_rating_but_positive_text
TAP Portugal,Economy Class,7.0,no,"Booked my flight during the pandemic and rescheduled twice. Endless calls with TAP's contact centre. Contact members giving contradicting advice on flight options. Some employees would be very calm and patient, others would simply cut the line. This part was horrible. I spend hours calling them. We took our flights with a 6-month baby and used the bassinet. We had our doubts beforehand, but were positively surprised. Staff was very friendly and helpful. Aircraft clean and well maintained. Layover in Lisbon straightforward. Lisbon-Amsterdam was a full flight, so space was limited unfortunately. Wanted to share this experience, because TAP has such a bad rating. I have flown TAP before to Brazil and must confess that both my experiences weren't bad at all. Contact centre must be improved though.",0.108,0.671,0.221,0.9664,positive,possible_mismatch,normal
American Airlines,Economy Class,2.0,no,"When we booked our flights several months ago there was not a direct flight from Charlotte to Albany so we booked via Chicago, recognizing how circuitous and inconvenient it would be. When we arrived at the Charlotte airport for our flight home to Albany we noticed that there was a direct flight to Albany and were told that there were many seats available. We asked if we could be out I that flight but at every turn were told that it was against company policy and that such a change would cost $200 each. We realize what ""the policy"" is but were hoping in a rationale, customer focused world we could get on a flight with vacancies that was going directly to Albany rather than having to fly halfway across the country only to return to the east coast. Of course the rationale is that the direct flight ""might"" have cost less than the flight we booked. When I asked for a comparison of the costs of the 2 flights at the time we booked it the airline said there was no way they could tell. Even though many airlines look for every conceivable angle to make money off their customers it's a shame that American assumes the same pecuniary motives from their customers. And so a flight to Albany with plenty of empty seats will leave soon. We won't be on it. But we will be on the flight leaving at a nearby gate to Chicago and once there we will hop a flight to Albany. Bureaucratic policies which focus solely on the bottom line rather than on the customer ultimately will damage the bottom line. Next time we will go through great lengths to fly Southwest where the customer and their free baggage are still held in esteem.",0.051,0.896,0.053,0.5789,positive,possible_mismatch,low_rating_but_positive_text
Icelandair,Economy Class,1.0,no,"Extra late takeoff. Rude staff. Seats were reserved in January. We got emails this morning confirming our seats with checkin. When we arrived and got our boarding passes, my wife and I had completely different seats in 2 different rows no longer next to each other. When trying to get it corrected, which took about 25 minutes and 3 people before anyone would even help, we were told that our seats were now taken by other people, and they can't do anything to help. There was only one seat remaining in row 30 when we reserved row 12. Cannot reccomend.",0.049,0.901,0.051,0.0516,positive,possible_mismatch,low_rating_but_positive_text
Virgin Atlantic,Economy Class,2.0,no,Such a disappointment! Having flown with Virgin a few times we were looking forward to our flights from Edinburgh through Heathrow to Miami. Unfortunately Little Red flight delayed so we had to transfer to BA to get to Heathrow in time. Plane from Heathrow was cramped and uncomfortable seating - economy seats I know but had always been more comfortable and spacious in the past! 1 bar service in a 9h+ flight. Small spirit measure and 1 glass of wine with meal. Realise not a good idea to have much alcohol on long haul flights but feel there should have been 2-3 bar services throughout the entire flight. Water or juice only offered. Poor quality meal cheap ice lolly and pretty tasteless 2 finger sandwiches before landing. What's happened to this airline? Plane half empty. Staff more interested in having a social gathering amongst themselves at the back of the plane. Dirty smelly toilets - even just after boarding! Only positive points were we arrived on time with all baggage and to be fair experienced a good flight with Little Red on our return from Heathrow to Edinburgh - much more pleasant staff and the offer of a miniature spirit small bottle of wine - double the quantity we were offered on the long haul flights both out and return to Miami! Agree with other reviewers that we won't use Virgin again.,0.072,0.787,0.141,0.9745,positive,possible_mismatch,low_rating_but_positive_text
Vueling Airlines,Economy Class,1.0,no,Porto to Barcelona. My husband is not especially tall average height of around 170 cm. His knees touched the seat in front. How lucky he isn't taller! This travel experience would make us rank Vueling at the bottom of the list. When we arrived at Barcelona the pilot advised we would be disembarking from both the front and rear of the plane. This idea was most appreciated but very short lived. It took at least 15 minutes if not longer for the steps to arrive but pleasingly one bus arrived before the steps.  If we could have floated down from the plane to the ground and into the bus I am sure most of the passengers would have been delighted. A disappointing experience all round.,0.032,0.881,0.087,0.7642,positive,possible_mismatch,low_rating_but_positive_text
Lufthansa,Economy Class,2.0,no,On a direct flight Munich to Los Angeles I found myself in row 39 (economy class) of an aircraft with a downstairs bathroom area. The bathroom configuration is a great innovation but next to my seat loomed the very imposing cover for the stairway to the bathroom. Mine was the inside seat of only two in that row because of the stairway. My elbow bumped into the stairway wall and my vision was totally blocked on that side. Claustrophobic alley! A kind attendant was able to reseat me. Meals? The plane departed at noon and lunch was served at 1 pm. Lufthansa has been touted for its meals and I was looking forward to this part. The meal itself was good from my experience with airplane food. A few hours later an attendant passed out Toblerone chocolate bars. Several hours after that more chocolate bars. Mind you this was a direct flight. It landed 12 hours after it departed. The passengers had last eaten a meal 11 hours earlier! I think most people would need at least a sandwich or light meal in that 11-hour period. There were no meals for purchase on board no help in sight. I think Lufthansa definitely needs to look carefully at their meal policy for such extended flights. If I ever travel on this airline again I'm bringing my own food!,0.059,0.855,0.086,0.8276,positive,possible_mismatch,low_rating_but_positive_text
Emirates,Economy Class,1.0,no,"Expecting a great deal based on other reviews we decided to pay more to fly with Emirates from Dubai to London Heathrow. Unhelpful Emirates Staff at Heathrow - could barely muster a smile. Completely oversold their family friendly service. It was a guessing game as to what we had to do with the stroller for our 7 month old. Although the kids meals were given as they had been pre-ordered I don't think they were particularly great quality. In terms of the cabin crew - rude, unfriendly and I could go on. We were issued the wrong menu - no apology. I asked for a glass of water for my little girl and it was as if I'd asked for gold. The serving of the food and drinks was very disjointed - no system, no organisation. I wasn't offered food twice as they bypassed me. My partner was missed out on a few occasions too. No apology. They didn't bother with the kids, I went to change the baby and when I was returning to my seat I had to wait in the aisle for 5 mins for them to move out of the way. They are clearly more important than you. The toilets were not maintained. I have always flown with Virgin in the past and will continue to do so in the future.",0.078,0.831,0.091,0.7264,positive,possible_mismatch,low_rating_but_positive_text
Lufthansa,Economy Class,2.0,no,Flew to and from Sao Paulo via Frankfurt. Already written about the disastrous seat reservation system so I won't rant on about this here again. I would say though that it took no fewer than 4 people at Frankfurt to actually resolve our seating issues. In the end only the Flight Manager was able/willing/empowered to deal with it. The crew on all flights were to be fair very good and the food was fine too. Seats however were very uncomfortable on the B747 so I got little if any sleep on the long 11 hour flights. Also the IFE is terrible. I have a very varied and eclectic taste in TV music and film and found little to entertain me. And to top it all off Lufthansa left our bags in Frankfurt en route back to London and can't seem to drag themselves to get them back to us in Southampton until tomorrow even though by their own admission they have now arrived on a later flight. Appalling.,0.078,0.828,0.094,0.0225,neutral,possible_mismatch,normal
Iberia Express,Economy Class,1.0,no,"Terrible experience with Iberia Express from Copenhagen to Madrid. Rubbish seat selection - a middle seat. Crew were mediocre at best, and that is being more generous than merited. The air hostess tore my carry-on bag out of my hand at shoved it into a random compartment without even bothering to tell me where it was. I had to wait for the rest of the passengers to alight before being able to find it. They had the nerve to charge 2 euros for a drink of water on a three-hour flight.",0.03,0.818,0.152,0.9143,positive,possible_mismatch,low_rating_but_positive_text
