rank,yes_keyword,yes_score,no_keyword,no_score
1,seat,0.8304,hour,0.7767
2,good,0.7058,time,0.6896
3,service,0.6563,seat,0.6759
4,time,0.6519,service,0.6169
5,crew,0.516,get,0.4922
6,food,0.5117,would,0.4847
7,cabin,0.4201,one,0.4547
8,staff,0.3969,customer,0.4371
9,class,0.3424,told,0.3937
10,would,0.2929,day,0.3708
11,meal,0.2907,staff,0.3645
12,great,0.2902,never,0.342
13,one,0.2819,even,0.3345
14,comfortable,0.2811,back,0.3305
15,hour,0.2809,bag,0.3195
16,business,0.2761,delayed,0.3054
17,friendly,0.2761,ticket,0.3026
18,economy,0.245,could,0.2975
19,excellent,0.2373,food,0.2781
20,drink,0.2364,another,0.2628
21,experience,0.2352,customer service,0.2616
22,first,0.2335,luggage,0.2567
23,aircraft,0.2288,got,0.2555
24,new,0.2275,air,0.2542
25,boarding,0.2274,first,0.2504
