rank,high_rated_keyword,high_rated_score,low_rated_keyword,low_rated_score
1,good,0.038918,hour,0.033571
2,seat,0.032622,customer,0.026024
3,service,0.030136,time,0.025713
4,crew,0.029999,seat,0.024512
5,time,0.028867,service,0.023858
6,food,0.026706,get,0.023559
7,great,0.025851,never,0.022045
8,cabin,0.025122,told,0.020909
9,excellent,0.02363,day,0.020758
10,staff,0.023219,one,0.020656
11,friendly,0.022586,would,0.020366
12,comfortable,0.022278,delayed,0.020192
13,class,0.021527,bag,0.019783
14,nice,0.018764,ticket,0.018507
15,meal,0.018107,customer service,0.018307
16,business,0.017613,even,0.017887
17,economy,0.016105,staff,0.016818
18,cabin crew,0.016077,back,0.016386
19,drink,0.015922,worst,0.016277
20,entertainment,0.0158,luggage,0.016098
21,new,0.015784,another,0.015441
22,aircraft,0.015679,pay,0.01528
23,clean,0.015632,delay,0.015198
24,experience,0.015613,could,0.014888
25,return,0.015204,got,0.014283
