rank,yes_keyword,yes_score,no_keyword,no_score
1,good,0.038602,hour,0.0333
2,seat,0.034891,seat,0.025529
3,service,0.029371,time,0.025306
4,crew,0.029077,customer,0.024395
5,time,0.028473,service,0.023769
6,food,0.027184,get,0.022691
7,cabin,0.025053,never,0.021207
8,staff,0.022641,one,0.020303
9,great,0.022471,told,0.020289
10,class,0.021252,would,0.020247
11,friendly,0.020984,day,0.019746
12,comfortable,0.020393,delayed,0.019629
13,excellent,0.019919,bag,0.018606
14,meal,0.018475,ticket,0.017504
15,business,0.017543,even,0.017393
16,nice,0.017189,staff,0.017167
17,economy,0.016406,customer service,0.016974
18,aircraft,0.016088,back,0.016291
19,drink,0.015934,luggage,0.015645
20,entertainment,0.015686,worst,0.015271
21,cabin crew,0.015634,delay,0.015198
22,new,0.015151,another,0.01492
23,return,0.015101,could,0.014667
24,would,0.015057,pay,0.014577
25,experience,0.014532,got,0.014047
