period,rank,keyword,tfidf_score
疫情前 2013-2019,1,flight,0.0626
疫情前 2013-2019,2,seat,0.035
疫情前 2013-2019,3,airline,0.0333
疫情前 2013-2019,4,hour,0.0307
疫情前 2013-2019,5,time,0.027
疫情前 2013-2019,6,service,0.0253
疫情前 2013-2019,7,plane,0.0235
疫情前 2013-2019,8,staff,0.0209
疫情前 2013-2019,9,would,0.0209
疫情前 2013-2019,10,one,0.0201
疫情前 2013-2019,11,get,0.0199
疫情前 2013-2019,12,airport,0.0195
疫情前 2013-2019,13,delayed,0.0185
疫情前 2013-2019,14,food,0.0184
疫情前 2013-2019,15,customer,0.0183
疫情期間 2020-2021,1,flight,0.0621
疫情期間 2020-2021,2,airline,0.0371
疫情期間 2020-2021,3,refund,0.0326
疫情期間 2020-2021,4,customer,0.029
疫情期間 2020-2021,5,time,0.0279
疫情期間 2020-2021,6,ticket,0.0258
疫情期間 2020-2021,7,service,0.0253
疫情期間 2020-2021,8,hour,0.0253
疫情期間 2020-2021,9,get,0.0238
疫情期間 2020-2021,10,never,0.0213
疫情期間 2020-2021,11,day,0.0209
疫情期間 2020-2021,12,customer service,0.0208
疫情期間 2020-2021,13,would,0.0202
疫情期間 2020-2021,14,fly,0.0202
疫情期間 2020-2021,15,cancelled,0.0194
疫情後 2022-2023,1,flight,0.063
疫情後 2022-2023,2,airline,0.0378
疫情後 2022-2023,3,hour,0.032
疫情後 2022-2023,4,time,0.0282
疫情後 2022-2023,5,service,0.0277
疫情後 2022-2023,6,customer,0.0273
疫情後 2022-2023,7,bag,0.025
疫情後 2022-2023,8,get,0.0245
疫情後 2022-2023,9,day,0.0239
疫情後 2022-2023,10,seat,0.022
疫情後 2022-2023,11,never,0.0216
疫情後 2022-2023,12,customer service,0.0211
疫情後 2022-2023,13,airport,0.021
疫情後 2022-2023,14,ticket,0.0203
疫情後 2022-2023,15,one,0.0198
