AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,Route,SeatComfortRating,ServiceRating,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id,review_cleaned,review_lower,tokens,token_count,sentence_count_period,proxy_label,vader_original_full,vader_original_sentence_avg,vader_adjusted_full,vader_adjusted_sentence_avg
Oman Air,Economy Class,October 2019,7th October 2019,4,4,2,Netherlands,8.0,yes,"Flew Muscat-Salalah return and there are only two options of which Oman Air turned out to be a good one. Our flight to Salalah was very punctual. Boeing 737 had limited leg room but I liked the PTV, which Oman even has on shorthaul flights. Attentive crew, nice snack and an early landing on both in and outbound flight. Leg room in Embraer 175 much better. Ground staff rather grumpy. Some of them must hate their jobs.",Muscat to Salalah,3,4,limited leg room but I liked the PTV,Couple Leisure,Trip Verified,4,0,4475d79a-b0bd-4c62-bcab-edd053afb560,flew muscatsalalah return two option oman air turned good one flight salalah punctual boeing 737 limited leg room liked ptv oman even shorthaul flight attentive crew nice snack early landing outbound flight leg room embraer 175 much better ground staff rather grumpy must hate job,"flew muscat-salalah return and there are only two options of which oman air turned out to be a good one. our flight to salalah was very punctual. boeing 737 had limited leg room but i liked the ptv, which oman even has on shorthaul flights. attentive crew, nice snack and an early landing on both in and outbound flight. leg room in embraer 175 much better. ground staff rather grumpy. some of them must hate their jobs.",flew|muscatsalalah|return|two|option|oman|air|turn|good|one|flight|salalah|punctual|boe|737|limit|leg|room|like|ptv|oman|even|shorthaul|flight|attent|crew|nice|snack|earli|land|outbound|flight|leg|room|embraer|175|much|better|ground|staff|rather|grumpi|must|hate|job,45,7,positive,0.7717,0.17609999999999998,0.8704,0.24482857142857142
SriLankan Airlines,Business Class,February 2017,20th August 2017,4,5,5,UnitedKingdom,9.0,yes,"Colombo to London in February 2017. SriLankan Airlines has a car to door facility at business class check in at Colombo airport, and you sit down whilst a staff member checks in your bag and hands you a boarding card. Lounge is generic but was restful at 01.00 with polite staff. Priority boarding via separate gate. A warm and smiling welcome on board by cabin crew, greeted at seat and offered help with bag and coat storage. CSD adds a personal welcome. Usual drinks, hot towels and menu. After take off beverage delivered and a fast supper service offered. Full flat bed and slept 6 hours. When I awoke, crew offers me coffee using a silver tray, a sandwich and a hot towel. All with a warm smile and with a nothing is too much trouble approach. Wonderful breakfast menu. On time arrival. Bags waiting as I arrive at carousel. I did not use the inflight entertainment system as a night flight but the range and quality seemed excellent. Limousine driver waiting at arrivals. Home 2 hours after landing. I thought they were excellent.",Colombo to London,5,5,I thought they were excellent,Solo Leisure,,5,4,ae989a21-185d-4a84-9d3c-4c97fe6aa718,colombo london february 2017 srilankan airline car door facility business class check colombo airport sit whilst staff member check bag hand boarding card lounge generic restful 0100 polite staff priority boarding via separate gate warm smiling welcome board cabin crew greeted seat offered help bag coat storage csd add personal welcome usual drink hot towel menu take beverage delivered fast supper service offered full flat bed slept 6 hour awoke crew offer coffee using silver tray sandwich hot towel warm smile nothing much trouble approach wonderful breakfast menu time arrival bag waiting arrive carousel use inflight entertainment system night flight range quality seemed excellent limousine driver waiting arrival home 2 hour landing thought excellent,"colombo to london in february 2017. srilankan airlines has a car to door facility at business class check in at colombo airport, and you sit down whilst a staff member checks in your bag and hands you a boarding card. lounge is generic but was restful at 01.00 with polite staff. priority boarding via separate gate. a warm and smiling welcome on board by cabin crew, greeted at seat and offered help with bag and coat storage. csd adds a personal welcome. usual drinks, hot towels and menu. after take off beverage delivered and a fast supper service offered. full flat bed and slept 6 hours. when i awoke, crew offers me coffee using a silver tray, a sandwich and a hot towel. all with a warm smile and with a nothing is too much trouble approach. wonderful breakfast menu. on time arrival. bags waiting as i arrive at carousel. i did not use the inflight entertainment system as a night flight but the range and quality seemed excellent. limousine driver waiting at arrivals. home 2 hours after landing. i thought they were excellent.",colombo|london|februari|2017|srilankan|airlin|car|door|facil|busi|class|check|colombo|airport|sit|whilst|staff|member|check|bag|hand|board|card|loung|gener|rest|0100|polit|staff|prioriti|board|via|separ|gate|warm|smile|welcom|board|cabin|crew|greet|seat|offer|help|bag|coat|storag|csd|add|person|welcom|usual|drink|hot|towel|menu|take|beverag|deliv|fast|supper|servic|offer|full|flat|bed|slept|hour|awok|crew|offer|coffe|use|silver|tray|sandwich|hot|towel|warm|smile|noth|much|troubl|approach|wonder|breakfast|menu|time|arriv|bag|wait|arriv|carousel|use|inflight|entertain|system|night|flight|rang|qualiti|seem|excel|limousin|driver|wait|arriv|home|hour|land|thought|excel,112,19,positive,0.9931,0.20862105263157893,0.994,0.2252263157894737
Qatar Airways,Economy Class,August 2018,16th September 2018,4,5,3,UnitedKingdom,9.0,yes,"Cardiff to Doha via Bangkok. The opportunity of flying from my local airport to Bangkok via Doha on Qatar Airways was too good to miss. Despite officious behaviour of some Cardiff Airport staff who did their best to upset my autistic son. We opted for economy out and business back and overall were delighted, the value for money offered by economy was excellent and must put some business class offerings to shame. The business class on return was superb, the cabin staff were excellent and keen to chat with my self and my son who appreciated being treated like an adult and being allowed to choose what he wanted from the menu. The flight was full both ways so I hope this service continues despite the rough and ready ground service at Cardiff which was the exception to that we encountered elsewhere on our journey.",Cardiff to Doha via Bangkok,4,5,overall were delighted,Family Leisure,Trip Verified,5,0,ae1ac4d5-ba5a-4363-94ed-6940c3236f5a,cardiff doha via bangkok opportunity flying local airport bangkok via doha qatar airway good miss despite officious behaviour cardiff airport staff best upset autistic son opted economy business back overall delighted value money offered economy excellent must put business class offering shame business class return superb cabin staff excellent keen chat self son appreciated treated like adult allowed choose wanted menu flight full way hope service continues despite rough ready ground service cardiff exception encountered elsewhere journey,"cardiff to doha via bangkok. the opportunity of flying from my local airport to bangkok via doha on qatar airways was too good to miss. despite officious behaviour of some cardiff airport staff who did their best to upset my autistic son. we opted for economy out and business back and overall were delighted, the value for money offered by economy was excellent and must put some business class offerings to shame. the business class on return was superb, the cabin staff were excellent and keen to chat with my self and my son who appreciated being treated like an adult and being allowed to choose what he wanted from the menu. the flight was full both ways so i hope this service continues despite the rough and ready ground service at cardiff which was the exception to that we encountered elsewhere on our journey.",cardiff|doha|via|bangkok|opportun|fli|local|airport|bangkok|via|doha|qatar|airway|good|miss|despit|offici|behaviour|cardiff|airport|staff|best|upset|autist|son|opt|economi|busi|back|overal|delight|valu|money|offer|economi|excel|must|put|busi|class|offer|shame|busi|class|return|superb|cabin|staff|excel|keen|chat|self|son|appreci|treat|like|adult|allow|choos|want|menu|flight|full|way|hope|servic|continu|despit|rough|readi|ground|servic|cardiff|except|encount|elsewher|journey,77,6,positive,0.987,0.5637666666666666,0.9876,0.5678666666666666
Tigerair,Economy Class,May 2016,2nd June 2016,0,0,2,HongKong,2.0,no,"Hong Kong to Bali Denpasar via Singapore return with Tigerair. Relatively terrible experience across the four individual flights. First, HKG-SIN boarded after an hour delay (no reason/apology given). Pulled back from gate, then swiftly returned. Was told there was an engine fault. Sat onboard for another half an hour. Then told we needed to disembark, which meant going all the way back through transfer security (painful process considering there was only 1 lane open in the midfield concourse at this time of night). Finally boarded again. Eventual takeoff just under 3 hours late, but very little sincere apology given by staff. Was still charged for a glass of water despite the delay. Second flight from SIN-DPS also delayed once onboard due to technical glitch, although thankfully did not have to disembark this time. Return flights, DPS-SIN fine and almost on time, but SIN-HKG yet again delayed once onboard for another technical issue. 3 flights out of 4 having technical issues is quite alarming and does not fill one with confidence. Legroom is standard for a cheap airline but the seats themselves are extremely uncomfortable. Aircraft looking quite dated. Departure gates regularly changed at the last minute. Prices of food onboard expensive and quality below average. Perhaps the worst offence of all - amidst the chaos of the disembarkation on the first flight, I note that there was no safety demonstration given by the crew at all before take off.",HKG to DPS via SIN,1,2,relatively terrible experience,Couple Leisure,,2,0,42f85391-fda8-42fc-9922-a995d0fb464e,hong kong bali denpasar via singapore return tigerair relatively terrible experience across four individual flight first hkgsin boarded hour delay reasonapology given pulled back gate swiftly returned told engine fault sat onboard another half hour told needed disembark meant going way back transfer security painful process considering 1 lane open midfield concourse time night finally boarded eventual takeoff 3 hour late little sincere apology given staff still charged glass water despite delay second flight sindps also delayed onboard due technical glitch although thankfully disembark time return flight dpssin fine almost time sinhkg yet delayed onboard another technical issue 3 flight 4 technical issue quite alarming fill one confidence legroom standard cheap airline seat extremely uncomfortable aircraft looking quite dated departure gate regularly changed last minute price food onboard expensive quality average perhaps worst offence amidst chaos disembarkation first flight note safety demonstration given crew take,"hong kong to bali denpasar via singapore return with tigerair. relatively terrible experience across the four individual flights. first, hkg-sin boarded after an hour delay (no reason/apology given). pulled back from gate, then swiftly returned. was told there was an engine fault. sat onboard for another half an hour. then told we needed to disembark, which meant going all the way back through transfer security (painful process considering there was only 1 lane open in the midfield concourse at this time of night). finally boarded again. eventual takeoff just under 3 hours late, but very little sincere apology given by staff. was still charged for a glass of water despite the delay. second flight from sin-dps also delayed once onboard due to technical glitch, although thankfully did not have to disembark this time. return flights, dps-sin fine and almost on time, but sin-hkg yet again delayed once onboard for another technical issue. 3 flights out of 4 having technical issues is quite alarming and does not fill one with confidence. legroom is standard for a cheap airline but the seats themselves are extremely uncomfortable. aircraft looking quite dated. departure gates regularly changed at the last minute. prices of food onboard expensive and quality below average. perhaps the worst offence of all - amidst the chaos of the disembarkation on the first flight, i note that there was no safety demonstration given by the crew at all before take off.",hong|kong|bali|denpasar|via|singapor|return|tigerair|rel|terribl|experi|across|four|individu|flight|first|hkgsin|board|hour|delay|reasonapolog|given|pull|back|gate|swiftli|return|told|engin|fault|sat|onboard|anoth|half|hour|told|need|disembark|meant|go|way|back|transfer|secur|pain|process|consid|lane|open|midfield|concours|time|night|final|board|eventu|takeoff|hour|late|littl|sincer|apolog|given|staff|still|charg|glass|water|despit|delay|second|flight|sindp|also|delay|onboard|due|technic|glitch|although|thank|disembark|time|return|flight|dpssin|fine|almost|time|sinhkg|yet|delay|onboard|anoth|technic|issu|flight|technic|issu|quit|alarm|fill|one|confid|legroom|standard|cheap|airlin|seat|extrem|uncomfort|aircraft|look|quit|date|departur|gate|regularli|chang|last|minut|price|food|onboard|expens|qualiti|averag|perhap|worst|offenc|amidst|chao|disembark|first|flight|note|safeti|demonstr|given|crew|take,141,18,negative,-0.9536,-0.09324444444444444,-0.949,-0.08855
Aeroflot Russian Airlines,Economy Class,,29th December 2013,4,3,0,Japan,1.0,no,Flew from Tokyo to Tel Aviv via Moscow around December 4th. Flight from Tokyo was pretty good. From Moscow there are no direct gates so you have to take a bus to board the plane. Waited 10 minutes inside the bus while it was right under the plane already. Another one and a half hour inside the plane before they drive us back to the airport and gave us 400RUB (gets you a coffee). Overall the flight was late by almost 6 hours on a 4 hours route. From Tel Aviv the flight was late by about half an hour. Upon landing had to board the bus again. It drove for about 20 minutes to the terminal. My bags didn't arrive to Tokyo (because the connection was too short). Will never fly with them again - it was cheaper by less than 100USD but definitely not worth it.,,3,3,Aeroflot Russian Airlines customer review,,,2,0,8939b077-a3bb-4f3e-a11e-0ca736fdbcc6,flew tokyo tel aviv via moscow around december 4th flight tokyo pretty good moscow direct gate take bus board plane waited 10 minute inside bus right plane already another one half hour inside plane drive u back airport gave u 400rub get coffee overall flight late almost 6 hour 4 hour route tel aviv flight late half hour upon landing board bus drove 20 minute terminal bag didnt arrive tokyo connection short never fly cheaper less 100usd definitely worth,flew from tokyo to tel aviv via moscow around december 4th. flight from tokyo was pretty good. from moscow there are no direct gates so you have to take a bus to board the plane. waited 10 minutes inside the bus while it was right under the plane already. another one and a half hour inside the plane before they drive us back to the airport and gave us 400rub (gets you a coffee). overall the flight was late by almost 6 hours on a 4 hours route. from tel aviv the flight was late by about half an hour. upon landing had to board the bus again. it drove for about 20 minutes to the terminal. my bags didn't arrive to tokyo (because the connection was too short). will never fly with them again - it was cheaper by less than 100usd but definitely not worth it.,flew|tokyo|tel|aviv|via|moscow|around|decemb|4th|flight|tokyo|pretti|good|moscow|direct|gate|take|bu|board|plane|wait|10|minut|insid|bu|right|plane|alreadi|anoth|one|half|hour|insid|plane|drive|back|airport|gave|400rub|get|coffe|overal|flight|late|almost|hour|hour|rout|tel|aviv|flight|late|half|hour|upon|land|board|bu|drove|20|minut|termin|bag|didnt|arriv|tokyo|connect|short|never|fli|cheaper|less|100usd|definit|worth,75,11,negative,0.6125,0.07297272727272727,0.6125,0.07297272727272727
SpiceJet,Economy Class,December 2019,7th December 2019,1,1,1,India,1.0,no,Bangalore to Kolkata arrived 49 mins late. They don't care for customer its always late. I had miss my 2 connecting flight while travelling with this airline. Please don't travel with Spicejet If you want to save your time and energy.,Bangalore to Kolkata,1,2,arrived 49 mins late,Solo Leisure,Trip Verified,1,1,b624767a-7ab7-426e-a59f-ee798721bd3a,bangalore kolkata arrived 49 min late dont care customer always late miss 2 connecting flight travelling airline please dont travel spicejet want save time energy,bangalore to kolkata arrived 49 mins late. they don't care for customer its always late. i had miss my 2 connecting flight while travelling with this airline. please don't travel with spicejet if you want to save your time and energy.,bangalor|kolkata|arriv|49|min|late|dont|care|custom|alway|late|miss|connect|flight|travel|airlin|pleas|dont|travel|spicejet|want|save|time|energi,24,4,negative,0.5679,0.060975,0.5679,0.060975
Spirit Airlines,Economy Class,December 2022,24th January 2023,0,0,2,UnitedStates,1.0,no,"I understand delays, but was delayed multiple times, approx 7 hours on departing Nashville. Did not realize I needed to pay extra for a back pack to carry on the flight, after paying for checked luggage and a penalty fee for being 3 pounds over at 43 pounds (my bad as I assumed it was 50 pound limit like all other airlines). Paying for my 2 bags and fee for being over was over $175. On return flight from Ft Lauderdale on January 1, 2023, flight was cancelled and no other flight out until noon on January 2nd. I booked on another airline to get home so I could get to work and was told to just submit information on web site for refund. Have been told twice that would have an answer on refund in 5-7 days and now Spirit is saying will have an answer in 30 days. Return flight fare and checked baggage is what I would like refunded. Flight number 0228 from Nashville to Ft Lauderdale- December 27, 2022 cancelled flight from Ft Lauderdale to Columbus Ohio Flight 0492 on January 1, 2023.",Nashville to Ft Lauderdale,2,2,pay extra for a back pack to carry on,Couple Leisure,Trip Verified,1,0,942e5098-94e2-4e22-89c4-1bd7c3d17a9e,understand delay delayed multiple time approx 7 hour departing nashville realize needed pay extra back pack carry flight paying checked luggage penalty fee 3 pound 43 pound bad assumed 50 pound limit like airline paying 2 bag fee 175 return flight ft lauderdale january 1 2023 flight cancelled flight noon january 2nd booked another airline get home could get work told submit information web site refund told twice would answer refund 57 day spirit saying answer 30 day return flight fare checked baggage would like refunded flight number 0228 nashville ft lauderdale december 27 2022 cancelled flight ft lauderdale columbus ohio flight 0492 january 1 2023,"i understand delays, but was delayed multiple times, approx 7 hours on departing nashville. did not realize i needed to pay extra for a back pack to carry on the flight, after paying for checked luggage and a penalty fee for being 3 pounds over at 43 pounds (my bad as i assumed it was 50 pound limit like all other airlines). paying for my 2 bags and fee for being over was over $175. on return flight from ft lauderdale on january 1, 2023, flight was cancelled and no other flight out until noon on january 2nd. i booked on another airline to get home so i could get to work and was told to just submit information on web site for refund. have been told twice that would have an answer on refund in 5-7 days and now spirit is saying will have an answer in 30 days. return flight fare and checked baggage is what i would like refunded. flight number 0228 from nashville to ft lauderdale- december 27, 2022 cancelled flight from ft lauderdale to columbus ohio flight 0492 on january 1, 2023.",understand|delay|delay|multipl|time|approx|hour|depart|nashvil|realiz|need|pay|extra|back|pack|carri|flight|pay|check|luggag|penalti|fee|pound|43|pound|bad|assum|50|pound|limit|like|airlin|pay|bag|fee|175|return|flight|ft|lauderdal|januari|2023|flight|cancel|flight|noon|januari|2nd|book|anoth|airlin|get|home|could|get|work|told|submit|inform|web|site|refund|told|twice|would|answer|refund|57|day|spirit|say|answer|30|day|return|flight|fare|check|baggag|would|like|refund|flight|number|0228|nashvil|ft|lauderdal|decemb|27|2022|cancel|flight|ft|lauderdal|columbu|ohio|flight|0492|januari|2023,101,8,negative,-0.8885,-0.1401875,-0.8922,-0.1442
Hawaiian Airlines,Economy Class,,21st July 2010,0,0,0,Poland,9.0,yes,Honolulu-Hilo-Honolulu on the same day. Low price flights on time good Boeing 717. Soft drink served on 40mins flight.,,0,0,Hawaiian Airlines customer review,,,4,0,fed7f071-6ba1-450c-863e-2fd42505aa48,honoluluhilohonolulu day low price flight time good boeing 717 soft drink served 40mins flight,honolulu-hilo-honolulu on the same day. low price flights on time good boeing 717. soft drink served on 40mins flight.,honoluluhilohonolulu|day|low|price|flight|time|good|boe|717|soft|drink|serv|40min|flight,14,3,positive,0.2023,0.06743333333333333,0.2023,0.06743333333333333
TAP Portugal,Economy Class,September 2021,27th September 2021,1,0,1,Portugal,1.0,no,"A domestic flight of one hour and twenty minutes in a flag carrier on 'discount' fare cost 242,73 euros and included no onboard service or checked luggage. This will automatically keep equaling a one star review for me. I am finding it quite amusing the reviews from Canadians, Americans and British saying TAP is 'cheap' when it is the Portuguese who are supporting these exorbitant prices to travel in their own country, identical to transatlantic flights. I hope the EU Commission is as bold with TAP as it was with Alitalia and save Portuguese taxpayers and Portugal's name from this mafia of the air. Flight on schedule and generous legroom on exit row. I asked for a cup of water and crew seem worried that I was interrupting their conversation in the galley.",Funchal to Lisbon,1,1,no onboard service or checked luggage,Solo Leisure,Trip Verified,1,1,ee508908-4052-4ef1-84f7-3716d2fd94f4,domestic flight one hour twenty minute flag carrier discount fare cost 24273 euro included onboard service checked luggage automatically keep equaling one star review finding quite amusing review canadian american british saying tap cheap portuguese supporting exorbitant price travel country identical transatlantic flight hope eu commission bold tap alitalia save portuguese taxpayer portugal name mafia air flight schedule generous legroom exit row asked cup water crew seem worried interrupting conversation galley,"a domestic flight of one hour and twenty minutes in a flag carrier on 'discount' fare cost 242,73 euros and included no onboard service or checked luggage. this will automatically keep equaling a one star review for me. i am finding it quite amusing the reviews from canadians, americans and british saying tap is 'cheap' when it is the portuguese who are supporting these exorbitant prices to travel in their own country, identical to transatlantic flights. i hope the eu commission is as bold with tap as it was with alitalia and save portuguese taxpayers and portugal's name from this mafia of the air. flight on schedule and generous legroom on exit row. i asked for a cup of water and crew seem worried that i was interrupting their conversation in the galley.",domest|flight|one|hour|twenti|minut|flag|carrier|discount|fare|cost|24273|euro|includ|onboard|servic|check|luggag|automat|keep|equal|one|star|review|find|quit|amus|review|canadian|american|british|say|tap|cheap|portugues|support|exorbit|price|travel|countri|ident|transatlant|flight|hope|eu|commiss|bold|tap|alitalia|save|portugues|taxpay|portug|name|mafia|air|flight|schedul|gener|legroom|exit|row|ask|cup|water|crew|seem|worri|interrupt|convers|galley,71,6,negative,0.9041,0.20245000000000002,0.9245,0.23091666666666666
Condor Airlines,Economy Class,November 2022,3rd November 2022,1,1,1,Canada,1.0,no,This is the worst airlines my flight is from Toronto to Frankfurt. It’s 5 hours delayed we are still waiting inside the plane to fly. I will never fly with Condor again.,Toronto to Frankfurt,1,1,5 hours delayed waiting inside the plane,Family Leisure,Not Verified,1,1,d1d5a409-4ae6-459a-bfab-2d27a2465933,worst airline flight toronto frankfurt ’ 5 hour delayed still waiting inside plane fly never fly condor,this is the worst airlines my flight is from toronto to frankfurt. it’s 5 hours delayed we are still waiting inside the plane to fly. i will never fly with condor again.,worst|airlin|flight|toronto|frankfurt|hour|delay|still|wait|insid|plane|fli|never|fli|condor,15,3,negative,-0.7184,-0.28373333333333334,-0.7269,-0.29163333333333336
