AirlineName,CabinType,OverallScore,Recommended,Review,sentence_count_period,proxy_label,vader_original_full,vader_original_sentence_avg,vader_adjusted_full,vader_adjusted_sentence_avg
American Airlines,Economy Class,1.0,no,"My first flight was delayed due to weather. Understandably, it's winter. I expressed my concern that because of the one hour delay I would not be able to make my connection flight and immediately sought out an attendant. The attendant understood, and reserved a backup flight in case the our original second flight took off before we landed. Once we landed we discovered that before we even were taxied to the gate our backup was cancelled and our connecting flight was in the air. On a call to customer relations they couldn't do anything for us until tomorrow. Leaving us in Dallas. We talked back and forth until they said they could set us up on a backup flight to a town 70 miles away from our ending destination. Who knows how this will end up. I've always flown Delta and have never had a problem. Will never use American Airlines again.",11,negative,-0.1635,-0.015218181818181818,-0.1882,-0.017372727272727272
American Airlines,Economy Class,1.0,no,The worst airline to fly through. They will give your seat away - we had an emergency and weren't able to check in an hour before. We watched people check in for our flight while we waited an 4 hours for the next flight.,3,negative,-0.7717,-0.3355666666666666,-0.7717,-0.3355666666666666
Qantas Airways,Economy Class,2.0,no,"✅ , |  Perth to Singapore on a Qantas Boeing 737-800 was a cramped flight. I'm only 5'10"", in a small plane with only 6 seats across and there was no room to recline so cannot sleep. I will return to using Scoot in their Boeing 787 or Singapore Air. Sadly the food was not very good either compared to my next flight with Royal Brunei.",4,negative,-0.7665,-0.23954999999999999,-0.8235,-0.30205000000000004
United Airlines,Economy Class,1.0,no,"Las Vegas to Halifax via Newark. These people are the most rude and selfish people I have ever dealt with. I am in the Canadian military and specifically asked before booking my flight whether we were covered for checked baggage. I was told that I am and so I booked with them. Now being at the airport they tell me they only cover for US and refuse to do anything to help me out. They were condescending, rude, and refused to help out with anything wanting me to pay over $300USD for my 3 bags. Eventually rebooked to Air Canada and I would recommend Air Canada to anyone.",7,negative,-0.762,-0.10285714285714286,-0.6195,-0.0764
Flair Airlines,Economy Class,3.0,no,"Edmonton to Toronto. I probably won’t ever fly with Flair again. I saved $0. I may have even spent more than if I would’ve flown with WestJet or Air Canada. Not impressed. I specifically bought and under-seat bag to carry valuable work equipment in. They double checked it at the gate and made me pay an extra $35 each way for the bag because they thought it was too big, making it an extra $73 total for a carry on stowed bag which should’ve been free. I got on the plane, and it sure enough did fit under the seat with plenty of foot space and room. I was not impressed.",9,negative,0.8172,0.13107777777777777,0.8172,0.13107777777777777
Air France,Economy Class,5.0,no,KIX-CDG-OSL in March first leg with 777-200 second operated by HOP! with an Embraer 190. At Osaka Kansai Airport Air France operates at the southern part of the terminal which means a short train ride from the main hall. I arrived about one hour earlier than I really needed to so I had lot of time to spend in the deserted South terminal which really doesn't have many shops or dining areas. This hasn't anything to do with the airline though. But anyway - boarding went smoothly and fast maybe because most of the PAX were Japanese but more likely because very few PAX. The seats of Air France's old cabin at first look looks quite comfortable and nice but really they isn't. They're too hard and worn for a 12 hour flight. TV-screens were also quite worn and the IFE system even worse. Luckily Air France provides a generous amenity kit even in their economy class with noise- cancelling ear plugs low quality headphones sleeping mask and a wet-wipe which they are handing out shortly after takeoff. Food quality is average. We got a choice of two dinners a Japanese (a sesame beef I believe) or a Western as well as breakfast. Catering was extremely poor during the 12 hour long flight they only came serving us beverage two times. And by the way cabin crew wasn't really nice either. They seemed stressed and tired. The captain on the other hand made an announcement every time arriving over new areas which was nice. Second leg was an average short haul-flight with beverage and a sandwich. Nothing special.,17,unknown,-0.2737,-0.049270588235294115,-0.2387,-0.047847058823529416
Southwest Airlines,Economy Class,1.0,no,"Las Vegas to Baltimore via Chicago. Never never again. Our first flight was supposed to be to Midway/Chicago then on to BWI but it was cancelled due to weather. Understandable, not a huge issue. We were given a direct flight to BWI which left Vegas 9 hours later then they rerouted us to Norfolk, left us here for 5 hours then just delayed us another 2 hours!! I have no idea where or luggage is or will be and nobody seems to know or care. Never again will I travel with Southeast and I will make sure nobody I know does either.",6,negative,-0.3457,-0.01836666666666668,-0.5729,-0.03138333333333334
Etihad Airways,Economy Class,3.0,no,"Athens to Sydney via Abu Dhabi. This was a first time flying Etihad and it was nothing but poor. The service was bad, the flight attendants didn’t want to be there and were rude. Our check in bags also got destroyed. The food was bad and the the seats were dirty. We also had air con that leaked all over me and my partner and the CSM did nothing about it, even though we got drenched! We flew them to Europe and back and all 4 flights were bad! Never will I fly Etihad Airways again. I will give them a 3 out of 10 because the pilots were good.",7,negative,-0.9759,-0.25327142857142854,-0.9659,-0.22780000000000003
Air Canada,Economy Class,2.0,no,"✅ , |  Cramped and not family friendly, are my resounding thoughts. I was travelling with my family, on route from Florida from Toronto to Heathrow, and Air Canada were offering reasonable prices at the time of looking. On booking the flight we requested a bassinet for our baby. We didn't get one despite repeated requests at the airport and on the plane. No attempt was made to accommodate this request. The seats on the plane with capacity for bassinets didn't have babies in them. There were other families with babies that were refused a bassinet. We are frequent fliers and I've never had this issue with an airline before. I was repeatedly hit with the trolleys as the cabin crew made their way up and down the aisles and also by other customers. The issue appears to have been caused by the introduction of an additional seat, so on the 787 the configuration of seating is 3-3-3 in economy. I spoke to the cabin crew about it, as I was unhappy at not being able to get any rest, and on a few occasions when I was holding our baby, his head was also knocked. The cabin crew also expressed their concerns as the reduced width makes their job that much more difficult and that this configuration will be the norm going forward.",12,negative,-0.8915,-0.15175833333333333,-0.8941,-0.15361666666666665
TAP Portugal,Economy Class,7.0,no,"Booked my flight during the pandemic and rescheduled twice. Endless calls with TAP's contact centre. Contact members giving contradicting advice on flight options. Some employees would be very calm and patient, others would simply cut the line. This part was horrible. I spend hours calling them. We took our flights with a 6-month baby and used the bassinet. We had our doubts beforehand, but were positively surprised. Staff was very friendly and helpful. Aircraft clean and well maintained. Layover in Lisbon straightforward. Lisbon-Amsterdam was a full flight, so space was limited unfortunately. Wanted to share this experience, because TAP has such a bad rating. I have flown TAP before to Brazil and must confess that both my experiences weren't bad at all. Contact centre must be improved though.",15,unknown,0.9664,0.11614000000000001,0.9301,0.09110000000000001
