score_column,threshold,n_proxy_reviews,accuracy,macro_f1,macro_precision,macro_recall,neutral_rate,negative_accuracy,positive_accuracy,negative_count,positive_count
vader_original_full,0.05,17567,0.8474,0.8512,0.8721,0.847,0.0129,0.7481,0.9458,8743,8824
vader_original_full,0.1,17567,0.8408,0.8493,0.8757,0.8404,0.0248,0.7383,0.9424,8743,8824
vader_original_full,0.3,17567,0.8055,0.837,0.8934,0.805,0.0845,0.686,0.924,8743,8824
vader_original_sentence_avg,0.05,17567,0.7856,0.8378,0.9207,0.785,0.1379,0.6549,0.915,8743,8824
vader_original_sentence_avg,0.1,17567,0.6853,0.7798,0.9493,0.6845,0.2716,0.5126,0.8563,8743,8824
vader_original_sentence_avg,0.3,17567,0.2691,0.3926,0.9872,0.2684,0.7269,0.0977,0.439,8743,8824
vader_adjusted_full,0.05,17567,0.8462,0.8499,0.8723,0.8457,0.0133,0.7423,0.9491,8743,8824
vader_adjusted_full,0.1,17567,0.8404,0.8486,0.8763,0.8399,0.0248,0.7332,0.9466,8743,8824
vader_adjusted_full,0.3,17567,0.8047,0.8363,0.8947,0.8042,0.0858,0.6804,0.9279,8743,8824
vader_adjusted_sentence_avg,0.05,17567,0.7847,0.8373,0.9227,0.7841,0.14,0.6484,0.9198,8743,8824
vader_adjusted_sentence_avg,0.1,17567,0.6829,0.7775,0.9507,0.6821,0.2749,0.5035,0.8607,8743,8824
vader_adjusted_sentence_avg,0.3,17567,0.2662,0.3873,0.9874,0.2654,0.7299,0.0908,0.44,8743,8824
