AirlineName,CabinType,OverallScore,Recommended,Review,sentence_count_period,proxy_label,vader_original_full,vader_original_sentence_avg,vader_adjusted_full,vader_adjusted_sentence_avg,vader_final_score,vader_final_label,vader_final_score_source,vader_final_threshold,dataset_label_recommended,dataset_label_rating,dataset_label_high_confidence,dataset_label_consistency
TAP Portugal,Economy Class,7.0,no,"Booked my flight during the pandemic and rescheduled twice. Endless calls with TAP's contact centre. Contact members giving contradicting advice on flight options. Some employees would be very calm and patient, others would simply cut the line. This part was horrible. I spend hours calling them. We took our flights with a 6-month baby and used the bassinet. We had our doubts beforehand, but were positively surprised. Staff was very friendly and helpful. Aircraft clean and well maintained. Layover in Lisbon straightforward. Lisbon-Amsterdam was a full flight, so space was limited unfortunately. Wanted to share this experience, because TAP has such a bad rating. I have flown TAP before to Brazil and must confess that both my experiences weren't bad at all. Contact centre must be improved though.",15,unknown,0.9664,0.11614,0.9301,0.0911,0.9664,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Cathay Pacific Airways,Premium Economy,7.0,no,CX790 KUL to HKG and CX826 to Toronto. Premium economy seats all the way. The seats are comfy and have great legroom but still feel cramped when the seat in front reclines. On the first leg KUL-HKG there was no drink service before takeoff or a hot towel in sight something Cathay hypes about in their commercials for premium economy. I was disappointed with the meal service as although we were served economy class meals the portions were tiny for a 14.5 hour flight. Staff were great pleasant and courteous and it was always service with a smile. They weren't around much after the meal service but did respond to calls. Personally I do not think these seats are great value for money due to the inadequate meal service and the general similar cramped feeling of economy. The seat mechanism was difficult to work and my seat would not go upright without the help of a steward who said that they were having problems with the premium economy seat recline mechanism.,10,unknown,0.9129,0.04143,-0.3689,-0.09128,0.9129,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Onur Air,,9.0,no,Belfast to Dalaman. Good flight both ways no delays. Staff friendly flight from Dalaman to BFS had TV screens showing a map of where you were Bought food and drink on-board as Onur Air do not do in-flight meals a tin of coke cost €4.00 which in uk pounds was £3.50 - so if you dont want to pay big prices buy some food and drinks before you board your flight. Safety demo in English and Turkish nice plane.,6,unknown,0.8616,0.2286166666666666,0.8113,0.1879666666666666,0.8616,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Santa Barbara Airlines,Economy Class,7.0,no,I tried to avoid Santa Barbara at all costs for trip between Caracas and Miami round-trip. They had been notorious for very long and cruel delays. Had no more choice and to be fair was pleasantly surprised that my experience was quite good. Flew in an old but nicely refurbished B 767. 300 that I think has helped them regain some kind of decent scheduling. For both round-trip segments the flight was very much on time and they now offer economy plus as an option with lots of leg room. Meals were ok and the staff very cordial. I have to say it is much improved and would fly them again. However it may still be a gamble in terms of on time departures.,9,unknown,0.8851,0.1208888888888888,0.8851,0.1208888888888888,0.8851,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Singapore Airlines,Business Class,7.0,no,Singapore to Bangkok. Seat and plane were pretty new. Seat was comfortable. Food was terrible. Crew was friendly. Lots better than their economy class crews. Overall was okay.,7,unknown,0.886,0.2412,0.836,0.1989571428571428,0.886,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Delta Air Lines,Economy Class,10.0,no,"Toronto to Ft Lauderdale via Detroit. The lady at Delta baggage claim at Detroit was super helpful, I left my mom’s medication in my luggage (carry on got checked at boarding, thought I would be able to pick it up when I get off the plane). After the gate agent telling me it’ll take hours to get my luggage back, she got it back to me in half an hour.",3,unknown,0.7717,0.2572333333333333,0.7096,0.2365333333333333,0.7717,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Lufthansa,Economy Class,8.0,no,A380-800 FRA-MIA in coach on 3/1/2015. Flight left promptly on a dreary day in Frankfurt. Seating in row 83 was a bit tight but I had ample shoulder room at the window thanks to the curve of the plane's fuselage. Two full meals were served over the 10 hour flight and the crew was pleasant and the flight was amazingly smooth at 40000 feet.,4,unknown,0.8225,0.190825,0.9192,0.2542999999999999,0.8225,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Emirates,Economy Class,7.0,no,"Very efficient booking and check in. Very good value for the money. All flights on time and excellent entertainment choices inflight. Meals were ok, not great. The only complaint would be that the staff were grumpy most of the time. Service level of the female staff was below any acceptable level for any reputable airline.",6,unknown,0.9056,0.2421499999999999,0.8478,0.1861833333333332,0.9056,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Delta Air Lines,Economy Class,10.0,no,"New Orleans to Seattle. Why are you charging $5 per flight for wifi and now not allowing people who have pre paid for their phone contracts to include in-flight wifi be stuck paying twice? Seriously? Not like $5 per month but $5 per flight? Everything else is great but this just seems greedy, obnoxious, and unfair to those of us who paid specifically for this reason and now have to pay an additional fee on nearly half the flights we take.",2,unknown,-0.84,-0.42,-0.84,-0.42,-0.84,negative,vader_original_full,0.05,negative,positive,unknown,conflict
Virgin Atlantic,Premium Economy,8.0,no,"✅ , |  London Heathrow to Johannesburg in Virgin Atlantic premium economy. Was last to board due to delay in from Manchester but plane held and welcomed onboard. Complimentary prosecco offered numerous times. Seat very good and comfy and tables in arm rest great idea as negates seat reclining on to you. Post take off drinks and not confined to one. Menus handed out and although choice not too good, did find 1 course to liking which was hot and tasty. Coffee in large china mug was nice touch and refills plenty. Offered liquors - yes did appear cheap- but drinks available all flight without hassle and the small bar quite good for snacks. IFE was very good - no issues with quality or needing re-boots. Staff very attentive when required and they appear to service both Premium economy and economy now. Small amenity bag had all requirements. Flight back of similar experience although as found many times before, FA's weren't as attentive this flight but never seem get 2 great crews. Plane is best yet, beating the A380 Boeing 747-400 and 777.",13,unknown,0.9911,0.3134538461538462,0.9913,0.3306153846153846,0.9911,positive,vader_original_full,0.05,negative,positive,unknown,conflict
